Timestamp,Be Bypass,Fr Beamline,Center,Surrounding,FC,NC,Be temp (degC),He press (V),Au temp (V),Read Au current,Au Target,Takefune Left,Takefune Right,Extraction,Def Up,Def Down,Drift 1,Einzel,Drift 2,Read Au current Current,Au Target Current,Takefune Left Current,Takefune Right Current,Extraction Current,Def Up Current,Def Down Current,Drift 1 Current,Einzel Current,Drift 2 Current,Freq (kHz),Phase (deg),Amp(CH1) (Vpp),Amp(CH2) (Vpp)
2022/03/14 11:41:51,0.002020000,0.000043600,0.000000,24.000000,-0.000210,0.000000,0.000050,3.017500,0.711150,0.20603649,6.94283247,0.56765944,0.60973370,0.58975643,0.60580301,0.60120076,0.58623761,0.58056355,0.12533960,0.00000000,-0.00000344,0.00000053,-0.00000016,0.00000014,0.00000029,-0.00000012,-0.00000014,-0.00000027,0.00000003,0,0,0,0
2022/03/14 11:41:52,0.002020000,0.000043700,0.000000,23.999000,0.000717,0.000000,0.000050,3.018000,0.711150,0.20603649,16.93735504,1.75463772,3.04247284,0.59088194,0.60715735,0.60247701,0.58716762,0.58065271,0.12534070,0.00000000,-0.00000196,-0.00000000,-0.00000028,0.00000004,0.00000029,-0.00000012,-0.00000014,-0.00000027,0.00000003,0,0,0,0
2022/03/14 11:41:53,0.002030000,0.000043700,0.000000,24.000000,0.000544,0.000000,0.000050,3.017500,0.711150,0.20603649,26.82748795,11.97604084,2.15744781,0.60211170,0.60797292,0.60310143,0.58769101,0.58080381,0.12521540,0.00000000,-0.00000132,0.00000030,-0.00000079,0.00000002,0.00000029,-0.00000012,-0.00000014,-0.00000027,0.00000003,0,0,0,0
2022/03/14 11:41:54,0.002030000,0.000043700,0.000000,24.000000,0.000376,0.000000,0.000050,3.017500,0.711150,0.20603649,37.40929031,22.65898705,12.80169106,0.62007880,0.60821915,0.60360062,0.58797091,0.58081484,0.12537555,0.00000000,-0.00000125,0.00000044,-0.00000068,0.00000002,0.00000029,-0.00000012,-0.00000014,-0.00000027,0.00000003,0,0,0,0
2022/03/14 11:41:55,0.002030000,0.000043700,0.000000,24.000000,0.012235,0.000000,0.000050,3.017500,0.711150,0.20603649,46.97157288,32.02537918,22.26797104,0.62765932,0.60836840,0.60400170,0.58811933,0.58106273,0.12540951,0.00000000,-0.00000127,0.00000051,-0.00000063,0.00000002,0.00000029,-0.00000012,-0.00000014,-0.00000027,0.00000003,0,0,0,0
2022/03/14 11:41:56,0.002030000,0.000043800,0.000000,24.000000,0.011318,0.000000,0.000050,3.017500,0.711150,0.20603649,72.14776611,61.28015518,51.47953033,-23.25783730,0.60811788,0.60409743,0.58780140,0.58102274,0.12554912,0.00000000,-0.00000152,-0.00000022,-0.00000135,0.00000020,0.00000029,-0.00000012,-0.00000014,-0.00000027,0.00000003,0,0,0,0
2022/03/14 11:41:57,0.002030000,0.000043800,0.000000,24.000000,0.380261,0.000000,0.000050,3.018000,0.711150,0.20603649,107.24187469,94.43082428,95.90462494,-69.81965637,0.60632527,0.60394013,0.58658379,0.58075392,0.12533279,0.00000000,-0.00000219,-0.00000037,0.00000103,0.00000017,0.00000029,-0.00000012,-0.00000014,-0.00000027,0.00000003,0,0,0,0
2022/03/14 11:41:58,0.002030000,0.000043700,0.000000,24.000000,0.210036,0.000000,0.000050,3.018000,0.711150,0.20603649,99.59812927,94.48518372,96.51622009,-122.96090698,0.59671593,0.60413241,0.58645147,0.58026230,0.12536228,0.00000000,-0.00000303,0.00000082,0.00000082,0.00000019,0.00000030,-0.00000012,-0.00000014,-0.00000027,0.00000003,0,0,0,0
2022/03/14 11:41:59,0.002030000,0.000043700,0.000000,24.000000,0.217096,0.000000,0.000050,3.018000,0.711150,0.20603649,100.54265594,94.50061798,96.48024750,-175.39578247,-39.43100357,0.59807849,0.58667791,0.58004999,0.12546846,0.00000000,-0.00000301,0.00000080,0.00000080,0.00000023,0.00000107,-0.00000012,-0.00000014,-0.00000027,0.00000003,0,0,0,0
2022/03/14 11:42:00,0.002030000,0.000043700,0.000000,24.000000,0.269631,0.000000,0.000050,3.018000,0.711150,0.20603649,100.45224762,94.52633667,96.52649689,-222.06346130,-39.44862366,0.59928125,0.58732188,0.57972324,0.12540302,0.00000000,-0.00000308,0.00000081,0.00000081,0.00000027,0.00000030,-0.00000012,-0.00000014,-0.00000027,0.00000003,0,0,0,0
2022/03/14 11:42:01,0.002030000,0.000043700,0.000000,24.000000,0.270037,0.000000,0.000050,3.017500,0.711100,0.20603649,99.95316315,94.53514862,96.53824615,-246.41397095,-39.43981171,0.60009944,0.58730239,0.57983822,0.12553491,0.00000000,-0.00000303,0.00000081,0.00000081,0.00000016,0.00000029,-0.00000012,-0.00000014,-0.00000027,0.00000003,0,0,0,0
2022/03/14 11:42:02,0.002030000,0.000043800,0.000000,24.000000,0.477740,0.000000,0.000050,3.018000,0.711150,0.20603649,100.78963470,94.52265930,96.51328278,-246.45582581,-39.46037292,-14.86943245,0.58670181,0.57998550,0.12564997,0.00000000,-0.00000307,0.00000080,0.00000081,0.00000016,0.00000029,-0.00000008,-0.00000014,-0.00000027,0.00000003,0,0,0,0
