ctime,timestamp,pulses_peak,pulses_background,half_life_time,background
1661784750662607616,1661784750662607616,39.488857033391696,474.5111429666083,678953628.721959,1.1883348745911169e-07
1661784786614145280,1661784786614145280,39.32485541268335,474.67514458731665,698359739.2727937,1.1883348745911169e-07
1661784822620304640,1661784822620304640,37.547083540910876,474.4529164590891,630044059.6856968,1.1883348745911169e-07
1661784858753057792,1661784858753057792,33.903226552157946,474.09677344784205,634675349.7571763,1.1883348745911169e-07
1661784714539997952,1661784714539997952,24.681850222368496,474.3181497776315,743362353.5212989,1.1883348745911169e-07
1661785943231143936,1661785943231143936,4162.89206634184,495.10793365815994,403207996.4157126,1.239653790555674e-07
1661785523441107200,1661785523441107200,2754.177587369773,494.822412630227,380704936.8167721,1.239653790555674e-07
1661785984894756352,1661785984894756352,321.0776534232396,494.9223465767604,552535027.1567918,1.239653790555674e-07
1661785579833292544,1661785579833292544,265.3490205800535,494.6509794199465,628338702.4041511,1.239653790555674e-07
1661785615744938496,1661785615744938496,176.5369243264568,494.4630756735432,658486549.046812,1.239653790555674e-07
1661785652058575616,1661785652058575616,126.02612146390106,493.97387853609894,610301054.4824853,1.239653790555674e-07
1661785724022500608,1661785724022500608,116.44930361309423,494.55069638690577,606088052.5751503,1.239653790555674e-07
1661786021031001856,1661786021031001856,58.895436169577636,494.10456383042236,484405478.3925426,1.239653790555674e-07
1661786092891675392,1661786092891675392,30.98282883376936,495.01717116623064,521595891.42370653,1.239653790555674e-07
1661786056929314048,1661786056929314048,29.39334866328437,495.60665133671563,383572154.38485736,1.239653790555674e-07
1661786129322134784,1661786129322134784,22.443718228975513,494.5562817710245,169360161.19754258,1.239653790555674e-07
1661786285784365312,1661786285784365312,1620.6207910879364,492.3792089120636,406179478.5130765,1.233936636556886e-07
1661786646922277632,1661786646922277632,588.7499576007526,492.25004239924743,352262316.56236625,1.233936636556886e-07
1661786324996934912,1661786324996934912,262.54870549677804,492.45129450322196,616304553.0986282,1.233936636556886e-07
1661786397452840192,1661786397452840192,137.30945209299483,492.69054790700517,548858813.4266909,1.233936636556886e-07
1661786361361782016,1661786361361782016,136.88496803747944,492.11503196252056,557508960.656806,1.233936636556886e-07
1661786433180915200,1661786433180915200,109.84263907509899,492.157360924901,562896030.7670033,1.233936636556886e-07
1661786469472347904,1661786469472347904,111.21446463786202,492.785535362138,514467577.43935454,1.233936636556886e-07
1661786796270738688,1661786796270738688,41.56055128848902,492.439448711511,324072838.20452976,1.233936636556886e-07
1661786760309761536,1661786760309761536,30.76344006706495,493.23655993293505,319607962.66119766,1.233936636556886e-07
1661786904202471168,1661786904202471168,28.364232975715368,491.63576702428463,350918057.0772307,1.233936636556886e-07
1661786868091639808,1661786868091639808,28.571923248531505,492.4280767514685,428674538.6095286,1.233936636556886e-07
1661786831949324032,1661786831949324032,8.228363700136185,492.7716362998638,339818557.22542167,1.233936636556886e-07
1661787757795834368,1661787757795834368,3924.1164740435624,491.8835259564373,409245297.3220049,1.2324204553925936e-07
1661787947978235136,1661787947978235136,351.8828746384055,443.1171253615945,634229430.0404398,1.1105191111694486e-07
