filename,filename_with_extension,filepath,mtime,ctime,timestamp,datetime,datetime_μs,datetime_ms,A,A_unc,sigma_x,sigma_x_unc,sigma_y,sigma_y_unc,mu_x,mu_x_unc,mu_y,mu_y_unc,C,C_unc,X-squared,p-value,R^2,fit_successful
ccd_detuning01,ccd_detuning01.xlsx,C:\Users\roman\Desktop\Research_UTokyo\Data\mot\images\ccd_detuning01.xlsx,1662707606.609926,1662707602.7284062,2022-09-09 16:13:22.728406,2022-09-09 16:13:22.728406,2022-09-09 16:13:22.728406,2022-09-09 16:13:22.728,742827.3340832652,4202.249868850227,9.031278518240874e-05,4.6199014256922907e-07,0.0002263122173620428,1.1575220030857187e-06,0.006278130047296223,4.4446941667692407e-07,0.008901058055586187,1.1137181160822313e-06,101.92356226783045,0.1679024068742505,23857.908848003,0.0,0.8344049849503324,True
ccd_detuning07,ccd_detuning07.xlsx,C:\Users\roman\Desktop\Research_UTokyo\Data\mot\images\ccd_detuning07.xlsx,1662707621.2558174,1662707617.7600105,2022-09-09 16:13:37.760010,2022-09-09 16:13:37.760010,2022-09-09 16:13:37.760010,2022-09-09 16:13:37.760,544174.8615768676,2572.5774627536935,8.199263489141145e-05,3.557137439145718e-07,0.000215579489886924,9.352612456767793e-07,0.006299715386934067,3.4442161154075995e-07,0.008871787738649592,9.055893975195025e-07,102.12807957369822,0.11052823934562672,11657.767995157908,1.0,0.87570885312454,True
ccd_detuning05,ccd_detuning05.xlsx,C:\Users\roman\Desktop\Research_UTokyo\Data\mot\images\ccd_detuning05.xlsx,1662707616.663009,1662707612.8210413,2022-09-09 16:13:32.821041,2022-09-09 16:13:32.821041,2022-09-09 16:13:32.821041,2022-09-09 16:13:32.821,761632.7231315976,3643.988505532832,8.392251842660583e-05,3.68809540798031e-07,0.00020862090199728287,9.167733654557797e-07,0.0063025835802269494,3.5723583962508414e-07,0.008891782854267746,8.88018225150311e-07,102.4458719689657,0.15731109291156636,20657.585059257486,3.1678957641673515e-233,0.8729194905876191,True
ccd_detuning09,ccd_detuning09.xlsx,C:\Users\roman\Desktop\Research_UTokyo\Data\mot\images\ccd_detuning09.xlsx,1662707627.2972002,1662707623.8548598,2022-09-09 16:13:43.854860,2022-09-09 16:13:43.854860,2022-09-09 16:13:43.854860,2022-09-09 16:13:43.854,150576.7387124296,539.712313205285,5.979096890816773e-05,2.0481064072677916e-07,0.00016235021389706194,5.56112427207282e-07,0.006316071922947218,2.01544460588987e-07,0.008873268465402314,5.472439284334879e-07,101.8125236534429,0.031291074369791325,1489.510691256346,1.0,0.9201396507747481,True
ccd_detuning10,ccd_detuning10.xlsx,C:\Users\roman\Desktop\Research_UTokyo\Data\mot\images\ccd_detuning10.xlsx,1662707631.004702,1662707627.4731975,2022-09-09 16:13:47.473197,2022-09-09 16:13:47.473197,2022-09-09 16:13:47.473197,2022-09-09 16:13:47.473,44588.16097075249,286.4664966498303,5.641202311263656e-05,3.5024326738026113e-07,0.00013139570076897876,8.157355841120795e-07,0.00632624532801863,3.460805829656099e-07,0.008879949804775104,8.060404564731033e-07,101.85746582829037,0.019006859659681304,656.2164154923466,1.0,0.7791948888563659,True
ccd_detuning02,ccd_detuning02.xlsx,C:\Users\roman\Desktop\Research_UTokyo\Data\mot\images\ccd_detuning02.xlsx,1662707608.0919259,1662707605.1848094,2022-09-09 16:13:25.184809,2022-09-09 16:13:25.184809,2022-09-09 16:13:25.184809,2022-09-09 16:13:25.184,108643029.94291417,45355150307.73744,0.003957379047084756,0.09199240426325062,2.246033928386745e-05,3.0536120860703625e-06,0.022871823802434424,0.7668866943909678,0.008457169768760415,3.026827924393383e-06,101.5741168917421,0.017886285781719156,617.7718918500318,1.0,0.007351809083468885,True
ccd_detuning08,ccd_detuning08.xlsx,C:\Users\roman\Desktop\Research_UTokyo\Data\mot\images\ccd_detuning08.xlsx,1662707625.1594343,1662707620.4588206,2022-09-09 16:13:40.458821,2022-09-09 16:13:40.458821,2022-09-09 16:13:40.458821,2022-09-09 16:13:40.458,304086.54974159214,1248.0913582764567,7.188352817612533e-05,2.758937835521739e-07,0.00019554155639532977,7.505246502686363e-07,0.006311682470234582,2.6921158559729025e-07,0.008862279313844233,7.323481577773365e-07,102.17105759224411,0.06013180545474597,4276.324941249243,1.0,0.9007675798027486,True
ccd_detuning04,ccd_detuning04.xlsx,C:\Users\roman\Desktop\Research_UTokyo\Data\mot\images\ccd_detuning04.xlsx,1662707612.91604,1662707610.2640407,2022-09-09 16:13:30.264041,2022-09-09 16:13:30.264041,2022-09-09 16:13:30.264041,2022-09-09 16:13:30.264,597184.529383261,2642.015620485844,9.361701641692996e-05,3.8165139319421635e-07,0.00018043386609951478,7.355926004997946e-07,0.006258134853402705,3.7017859357305186e-07,0.008921812144756257,7.13479791031578e-07,103.30554381538869,0.11611563094624122,13469.701782953078,0.9999999889456821,0.8888015820416655,True
ccd_detuning03,ccd_detuning03.xlsx,C:\Users\roman\Desktop\Research_UTokyo\Data\mot\images\ccd_detuning03.xlsx,1662707611.1920378,1662707607.8769274,2022-09-09 16:13:27.876927,2022-09-09 16:13:27.876927,2022-09-09 16:13:27.876927,2022-09-09 16:13:27.876,354253.5631928123,2423.634469248142,0.00012951210937619487,6.931260973883216e-07,0.0003640245500449882,2.0958047481212784e-06,0.006240988470418935,6.231712195988532e-07,0.009184097931583795,1.8178192734318965e-06,102.04266476505423,0.06112436496151027,3359.0125802844905,1.0,0.8166563579527844,True
ccd_detuning06,ccd_detuning06.xlsx,C:\Users\roman\Desktop\Research_UTokyo\Data\mot\images\ccd_detuning06.xlsx,1662707618.290055,1662707615.184945,2022-09-09 16:13:35.184945,2022-09-09 16:13:35.184945,2022-09-09 16:13:35.184945,2022-09-09 16:13:35.184,706354.397328726,3378.335987499757,8.360600947336742e-05,3.6688076157746505e-07,0.00021194350576007884,9.30002074305351e-07,0.006304914214126611,3.5519951709915505e-07,0.008872962457872492,9.004049793913262e-07,102.46353545733257,0.1449694187881955,17977.055125636252,1.7518969904000312e-85,0.8731932799486807,True
